Timestamp,How did you hear about the retreat?,What is your relationship with SWC or DC?,What did you participate in at the Retreat?,,What were you hoping to do or see at the Retreat? How well did reality match those expectations?,Did you have the chance to make suggestions or offer input on what the group focused on at the Retreat? What could have been done to better help you offer input?,"Who did you network with at the retreat? Colleagues you already knew, or new people? Software Carpentry Insturctors, or other?",How many new people did you meet at the Retreat?
11/15/2015 20:23:57,Software Carpentry blog,"Content Contributor, Helper, Host, Instructor, Student","Conversations  / Round Table Discussions, Global Broadcasts (watching)",,"I was hoping to have a discussion on how other instructors were adapting lessons to a particular audience, hear what they were doing, benefiting from their experience. In the end the discussions at my location were mostly centered around git and not much else, but I did learn a lot about how others were using and teaching this tool, as well as pick up some good teaching tips.
There were a lot of technical issues with the global sessions. Some were on our side (audio/video sync, which we finally solved) but most were on the presenters side. The live YouTube feed proved to be much more reliable than the hangout one, but it was awkward to get that feed from the hangout link. These issues need to be resolved for next retreats, as it made it really hard to follow the global sessions. We ended up tuning out entirely.",,"It was mostly new people for me, I notably got in touch with a local scientific coders group. There were not many active instructors, some helpers and others who are interested in the SWDC pedagogy but not actively participating in ""official"" workshops.",6-10
11/15/2015 21:47:19,from a coworker,"Helper, Host, Student","Conversations  / Round Table Discussions, Examining new teaching materials, Global Broadcasts (watching)",,"Was hoping to meet other local instructors/helpers, and learn more about new SWC lessons, and supplementary teaching materials. The event matched my expectations pretty well, though some of the broadcast sessions had some technical difficulties, or were difficult to watch.","Since I was projecting broadcast sessions from my laptop, I wasn't able to also take notes on the etherpads at the same time. It would have been smart of me to plan on bringing a dedicated computer for this.",all of the above,3-5
11/15/2015 21:55:10,An organizer,Student,"Conversations  / Round Table Discussions, Global Broadcasts (watching), Practice Teaching",,,,,0
11/16/2015 9:28:53,Daniel Chen is a graduate student in my program and sent out information about the retreat. ,I had not done anything with SWC or DC before the retreat. ,Global Broadcasts (watching),,,,,1-2
11/16/2015 11:32:00,Via the SWC mail lists. ,Instructor,Conversations  / Round Table Discussions,,"While I contributed to a session, myy schedule that day did not allow for be to participate in most of the other sessions. So I just mainly helped to do much of the prep work for hosting locally a gather.  ",Maybe have practiced a bit what it takes to set up a round table session versus a instructional or demo session. ,It was mainly the cohorts from our Instructor Training. We would hope that starts to expand that more for future events. ,1-2
11/16/2015 14:25:40,I follow SWC news and it was mentioned at the UofT scientific coders group.,Student,"Conversations  / Round Table Discussions, Global Broadcasts (watching)",,"I wanted to meet to more people who are more knowledgeable about how SWC runs and to see what specific areas of teaching are most active or might need the most improvement in the future.

In the end I think the most useful part might have been the local round-table discussion/lesson on collaborative working in Git/hub","Maybe more explicitly request feedback for online global broadcasts.

For in person activities in Toronto I think we could easily provide input as needed.",New people who were part of SWC and others from UofT scientific coding group.,3-5
11/17/2015 8:12:33,from Seattle software carpentry email list.,Instructor,"Conversations  / Round Table Discussions, Examining new teaching materials, Global Broadcasts (watching)",,I wanted to have discussions about the new gapminder lessons and about teaching git pedagogy. We did discuss the gapminder lessons but the git pedagogy broadcast had technical issues. Local sessions were good overall although some participants were not SWC instructors and focused their talks on computing topics that were beyond the scope of SWC.,We all filled out a survey about which broadcasts and local sessions were most important to us.,Mostly SWC instructors or people who are signed up for an upcoming instructor training.,6-10
11/17/2015 9:24:56,SWC instructors' email list,"Helper, Instructor, Student","Conversations  / Round Table Discussions, Examining new teaching materials, Global Broadcasts (active contribution ie speaking or commenting)",,"* meet people in my local area involved with SWC, learn who they are, what they do, etc. -- 
* exchange info about experience of setting up SWC workshops or targeting them to specific audiences/learners other than sciences -- got some of this (other models of teaching computing skills) but not really about teaching to people in arts, humanities, & social sciences","* a little: shared info about other tools (e.g. markdown editors, etc.)
* had a lot of technical difficulties with the global broadcasts so didn't get to watch or interact with many of them","* met in person people I'd taken Instructor training with, which was nice.
* most of the people were new to me
* good to have a chance to chat and learn with each other.
* Not sure if all were SWC instructors or not.  I did the instructor training but have only been a helper so far.  

OTHER COMMENTS
* The global broadcasts were disappointing because of technical difficulties. Of the four we tried to watch/participate in, only the first one was even legible.  The second one seemed to be cancelled but there no notices of this; the mopad existed, as did the google hangout, but it was not active.  The listing disappeared from the list without explanation. I understand a cancellation but a notice on the schedule (not just a deletion) would help.  Question: did presenters/speakers have time to test out their set up in advance?  We experienced video issues, audio issues, audio delays, etc.  We were not able to see the 3rd and 4th presentations we intended to see.  We used the time talking to each other and teaching each other git.",6-10
11/17/2015 11:43:36,SWC mailing list.,Helper,Conversations  / Round Table Discussions,,"I was hoping to get more of a feel for the way that Software Carpentry operates and is organized both locally and at the organizational level. I feel like the retreat gave me a little bit of insight into these things, but between the technical difficulties of the global broadcasts and the low turnout, I'm not sure it quite met those expectations.",,,3-5
11/17/2015 18:01:17,Rayna emailed me about it.,I'm new to SWC and DC,Global Broadcasts (watching),,"I expected to meet new people and learn new things, and my expectations were met.","Yes, I had a chance to talk with local attendees and offer my input. It was a very welcoming environment.",Most of the people that I met at the retreat were new.,3-5
11/17/2015 18:28:45,through Twitter and other SWC instructors,Instructor,"Conversations  / Round Table Discussions, Global Broadcasts (watching)",,"I hoped to learn a little more about effective teaching, and to bond a bit with our local group.

I did learn some new things, and I got to chat with local people. I also met two people from industry, and we plan to make some future connections with them.","Yes, I did get to ask some questions during a discussion. I thought the etherpad also helped bring questions into the discussion.

It would have been interesting to help choose the discussion topics in advance.","I spent time with two other SWC instructors (already known), two data industry workers (new), and two other colleagues (already known). ",1-2
11/17/2015 19:18:27,Twitter,"Content Contributor, Helper, Instructor, Student","Examining new teaching materials, Global Broadcasts (watching), Practice Teaching",,I was hoping to get tips from other instructors on teaching methods and learn about topics that are too advanced for regular workshops. I got a little of both of these.,There were ample opportunities to make suggestions.,"All new people, most of whom were Software Carpentry instructors (or on their way to becoming instructors).",6-10
11/17/2015 21:10:26,Twitter and email,"Host, Instructor, Student, I am also researching usefulness of SWC training for my MPhil thesis","Conversations  / Round Table Discussions, Global Broadcasts (active contribution ie speaking or commenting), Global Broadcasts (watching)",,"I wanted to get some new ideas, learn a bit more about things like contributorship, and connect with other instructors. My main motivation was really to feel connected to the wider Software Carpentry community.","It was fine - the etherpads made the sessions I attended quite interactive and helped lead the discussions and generate feedback.

I was surprised that the Slack channel didn't seem to be used much - I actually liked that a lot. Maybe I was just looking at the wrong time - I am in Australia so the time zone differences can make things difficult.","I networked with Melbourne Software Carpentry/ResBaz colleagues via the Slack channel - I know them only virtually through Twitter, Gitter etc. but it was good to chat on the day as there was no Brisbane event to join. I also connected via etherpad chat with instructors in the broadcast sessions I attended - I know those people only virtually too.",6-10
11/17/2015 21:19:29,Through Ariel Rokem. ,Instructor,"Conversations  / Round Table Discussions, Examining new teaching materials, Global Broadcasts (watching)",,I was planning to see some videos and tutorials and have some discussions. The day turned out very productive and enjoyable. I even already managed to use some of the things I learned during the retreat. ,"Yes, I had an option to suggest input but I did not do it in advance. That is why I am quite happy that whatever we did was useful for me, even without specifying what I wanted.","Some colleagues, and some people from other departments. I hope we can bring some of the external folks to the studio to teach some more advanced Data Carpentry workshops",6-10
11/21/2015 12:09:39,discuss mailing list / blog post,"Content Contributor, Helper, Instructor, past student","Global Broadcasts (watching), Material writing / review",,I was hoping for a local meetup to happen to get to know other instructors in person. Hopefully next time we can manage to organise something.,The contribution session was useful to improve my workflow so I could submit some new pull requests (hopefully without the need for 'git rebase' this time).,The session on DC was informative and I have submitted an application to fasttrack.,3-5
11/22/2015 1:12:05,SWC Blog,"Content Contributor, Helper, Host, Instructor","Conversations  / Round Table Discussions, Examining new teaching materials, Global Broadcasts (watching)",,"I was hoping to meet many new people and learn about what they are doing to run successful workshops and support their participants after workshops, to learn how they fund it, anything that I could bring back home. I was also hoping to learn from others about giving and receiving feedback about teaching from and to other instructors and to discuss how to handle feedback about the workshop from participants.
I was surprised to find a very small group of people at the London retreat. I somehow expected more people to be interested and to participate.
It was great to meet a number of other instructors, specifically in the light of future invites to teach in SA.  I got a lot from participating in the retreat, but it was a long day that never quite got off the ground and it's possible that a larger group may not have felt that it was worth their while to come out to London to participate.","Yes.  There was ample opportunity before and during the workshop to offer input.
","People I've met online but not in person and new people - all instructors.

There's no space provided in the survey to thank the mentoring committee and all the hosts for organising and initiating the retreat. Well done. I'm looking forward to see what we've learnt from this one to run an even more successful one in future. Also really looking forward to hear what the experience was like at other sites.  What worked, what didn't? Thanks!",6-10
11/22/2015 15:48:38,SWC Discuss email list.,"Helper, Instructor, Student","Conversations  / Round Table Discussions, Global Broadcasts (watching)",,Extended conversations about instructor experiences and how to improve SWC.,Our retreat location was fairly open for adjustment at the last minute.  This was perfect.  There were few enough of us that we could make it work for everyone.,"All of the above.  (This question could be done as checkboxes, no?)",3-5
11/22/2015 16:14:52,through the SWC mailing list,interested in becoming instructor,Conversations  / Round Table Discussions,,I was just looking to find out a little more about SWC and how it works.,,All new people. Greg and the others that were there,6-10
11/22/2015 18:51:12,Through Software Carpentry and Rayna Harris!,Instructor,"Conversations  / Round Table Discussions, Examining new teaching materials, Global Broadcasts (active contribution ie speaking or commenting), Practice Teaching",,"I expected to see a bit more of discussions surrounding material revision. In my workshops the discussions were always surrounding get practical applications of materials taught. I was also wanting to see curriculum development surrounding: basic, intermediate, high levels. This will hugely help a lot of candidates attending software carpentry python workshop.","Yes, we were able to use etherpad, hangouts, mailing list and discuss specifics.",I finally had a chance to get to know the local instructors in Austin! Thanks to Nicole and Rayna for hosting the event.,3-5
11/22/2015 18:53:58,Discuss list,"Content Contributor, Helper, Instructor","Conversations  / Round Table Discussions, Examining new teaching materials, Material writing / review",,"Share teaching experience, learn more about the current state of the lessons and contribute with reviews in some of them. It matched my expectations really well.","No, but it was very well organized and participative, so I didn't feel the need to offer input on what to do.","Both colleagues and new people, SwC and DC instructors.",6-10
11/24/2015 11:59:50,Discuss list ,"Helper, Instructor","Conversations  / Round Table Discussions, Global Broadcasts (watching)",,"I really enjoyed the retreat material online.  However, next time I might encourage more interaction locally.  It would be nice if our local group of instructors could have made plans for our campus (workshops, contributing, making plans for following up with students).","I think maybe more suggestions should have been given to the local groups about what they should do.  How to balance in person interactions with global participation.  

I'd maybe suggest having the presenters only present for a half hour and leaving the 2nd half of the hour for discussions. ",Yes.  Mostly people I knew or had met at least twice.  SWC instructors and helpers only.,0
